Index,product,category,sale_price,market_price,type,rating
433,Signature Pistachio Bundle,Gourmet & World Food, 307.20, 480.00,Dry Fruits & Berries,3.919943820224719
434,Ultimate 7 O Click - Permasharp Stainless Blade Edition,Beauty & Hygiene, 21.56, 22.00,Shaving Care,4.1
435,New Generation Classic Sandalwood & Tulsi Hand Wash Set,Beauty & Hygiene, 209.00, 209.00,Hand Wash & Sanitizers,3.8
436,Pro Chai/Stainless Steel Cups - For The Love Of Tea Style,"Kitchen, Garden & Pets", 395.00, 395.00,"Cups, Mugs & Tumblers",3.919943820224719
437,New Generation Brass Karpoor Arti - No.2 Series,Cleaning & Household, 109.00, 225.00,Other Pooja Needs,3.8
438,Expert Nikhaar Hair Removal Cream For All Skin Types Line,Beauty & Hygiene, 82.00, 82.00,Hair Removal,4.1
439,Pro Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils Edition,Beauty & Hygiene, 114.80, 140.00,Lip Care,4.3
440,"Elite Plastic Insulated Jr Casserole For Roti/Chapati Gift Set - White, Regalia Set","Kitchen, Garden & Pets", 739.00, 910.00,Casserole,3.5
441,New Generation Sunspray Sunscreen SPF 30 Model,Beauty & Hygiene, 292.50, 450.00,Face Care,3.919943820224719
442,Expert Vastu Combo Pack - Floor Cleaner + toilet cleaner Line,Cleaning & Household, 319.00, 319.00,Floor & Other Cleaners,3.6
443,"Fusion Water Flask - Insulated Thermosteel, Flip Lid , Silver Premium Pack","Kitchen, Garden & Pets", 879.00," 1,095.00",Vacuum Flask,4.2
444,Artisan Drumstick - Organically Grown Model,Fruits & Vegetables, 13.00, 16.25,Organic Vegetables,3.919943820224719
445,Advanced Up Or Down Eau De Toilette Deodorant - For Man Premium Pack,Beauty & Hygiene, 223.20, 279.00,Men's Deodorants,3.919943820224719
446,"Signature Ultra Healing - Extra Dry Skin Moisturiser With Vitamin C, E & B5 Collection",Beauty & Hygiene, 296.10, 329.00,Body Care,2.0
447,"Essential Organic, Fennel /Saunf/Sompu Powder Selection","Foodgrains, Oil & Masala", 23.00, 25.00,Organic Masalas & Spices,4.1
448,Artisan Coconut Braker - Big Collection,"Kitchen, Garden & Pets", 129.00, 169.00,Kitchen Tools & Other Accessories,3.0
449,Elite Truffel - Caramel Range,Snacks & Branded Foods, 190.00, 200.00,Chocolates,3.7
450,Pro Conditioner - Hair Repair Style,Beauty & Hygiene, 161.00, 161.00,Shampoo & Conditioner,3.919943820224719
451,"Artisan Stainless Steel Water Bottle - Blue, BB506 3 Selection","Kitchen, Garden & Pets", 249.00, 470.00,Water & Fridge Bottles,3.919943820224719
452,New Generation Mischief Avatar Deodorant & Body Spray Perfume For Men Style,Beauty & Hygiene, 121.00, 199.00,Men's Deodorants,3.8
453,Expert Skin Fruits Fruit Moisturising Body Lotion Selection,Beauty & Hygiene, 68.85, 81.00,Body Care,4.1
454,Max Multipurpose Germ Protection Anti-Bacterial Wipes With Lemon Fragrance Model,Cleaning & Household, 100.00, 100.00,Disinfectant Spray & Cleaners,3.919943820224719
455,Elite Basmati Rice/Basmati Akki - Rozana Super 90 Bundle,"Foodgrains, Oil & Masala", 340.00, 390.00,Basmati Rice,3.9
456,Expert Milk power Frappe Milkshake - Belgian Chocolate Edition,"Bakery, Cakes & Dairy", 27.00, 30.00,"Flavoured, Soya Milk",4.2
457,"Pro Peanut Butter - Unsweetened, Crunchy Series",Snacks & Branded Foods, 275.00, 275.00,Choco & Nut Spread,3.8
458,Ultimate Salem Turmeric Powder/Arisina Pudi Series,"Foodgrains, Oil & Masala", 24.75, 33.00,Powdered Spices,4.4
459,New Generation Body Fragrance - Alexander Model,Beauty & Hygiene, 149.25, 199.00,Men's Deodorants,4.3
460,"Essential Steel Storage/Lunch Container- No.1, Blue, Klip It Style","Kitchen, Garden & Pets", 79.00, 119.00,Steel Storage Containers,3.1
461,Ultimate Ladies Finger Collection,Fruits & Vegetables, 26.73, 35.00,"Beans, Brinjals & Okra",3.919943820224719
462,Fusion Aloe Vera Juice - Purifies Blood & Boosts Immunity Model,Gourmet & World Food, 220.00, 220.00,Health Drinks,1.0
463,"Fusion Balloon - Polka Dot, 12 Inch Bundle",Cleaning & Household, 99.00, 129.00,"Caps, Balloons & Candles",3.9
464,Essential School/Stationery Kit Line,Cleaning & Household, 49.00, 49.00,"Pen, Pencils",4.1
465,Advanced Face Wash - White Tea & Chamomile Style,Beauty & Hygiene, 129.50, 185.00,Face Care,4.2
466,Advanced Bathroom Cleaner Premium Pack,Cleaning & Household, 209.30, 299.00,Toilet Cleaners,4.0
467,Fusion Imperial Desert Set - Aqua Leaves Premium Pack,"Kitchen, Garden & Pets", 419.00, 625.00,Plates & Bowls,2.8
468,Essential Solitaire Storage Transparent Pet Container Set - Green Lid Model,"Kitchen, Garden & Pets", 409.00, 969.00,Containers Sets,4.2
469,Advanced Organic Cold Pressed Virgin Coconut Oil Set,Gourmet & World Food, 239.00, 365.00,Organic & Cold Press Oil,4.4
470,New Generation DiaFree Juice Premium Pack,Beverages, 420.00, 420.00,Juices,3.919943820224719
471,Expert Hand Wash Rose & Geranium - Anti Bacterial Set,Beauty & Hygiene, 349.00, 349.00,Hand Wash & Sanitizers,5.0
472,Expert Namkeen - Flattend Rice Mixture Set,Snacks & Branded Foods, 38.00, 38.00,Namkeen & Savoury Snacks,4.0
473,Expert Borosilicate Glass Rectangular Food Container With Green Lid Model,"Kitchen, Garden & Pets", 209.00, 339.00,Containers Sets,3.919943820224719
474,Pro Black Naturals Range,Beauty & Hygiene, 37.00, 39.00,Hair Color,4.2
475,Fusion Sorghum Rava/ Semolina Bundle,Gourmet & World Food, 80.00, 80.00,Flours & Pre-Mixes,4.4
476,Expert Sensitive Toothpaste - Fresh Mint Model,Beauty & Hygiene, 215.60, 230.00,Toothpaste,4.3
477,New Generation Floor Cleaner - Lime Line,Cleaning & Household, 70.00, 70.00,Floor & Other Cleaners,3.8
478,Advanced Hair Serum - Anti-Dandruff Edition,Beauty & Hygiene, 637.50, 750.00,Hair Oil & Serum,1.0
479,"Elite Face Mask 3-Layer Surgical - Disposable, Anti-Dust & Anti-Pollution, With Earloop Premium Pack",Beauty & Hygiene, 79.00, 99.00,Face Masks & Safety Gears,3.5
480,Pro Veda Keto-Slim Ultra Weight Loss Set,Beauty & Hygiene," 1,699.00"," 1,699.00",Ayurveda,3.919943820224719
481,"Fusion Basmati Rice Mini Mogra, Broken/Tukda 5 Kg + Wheat Flour (Chakki Atta) 10 Kg Premium Pack","Foodgrains, Oil & Masala", 575.00, 745.00,Basmati Rice,3.919943820224719
482,New Generation Tapioca Style,Fruits & Vegetables, 17.00, 21.25,Root Vegetables,3.919943820224719
483,Ultimate Organic - Kalonji Edition,"Foodgrains, Oil & Masala", 47.50, 50.00,Organic Masalas & Spices,4.2
484,Expert Savoury - Pizza Line,Gourmet & World Food, 190.00, 190.00,"Healthy, Baked Snacks",3.919943820224719
485,Expert Water/Juice Glass Tumbler - Volvic 3303 Range,"Kitchen, Garden & Pets", 425.00, 425.00,Glassware,3.919943820224719
486,Elite Red Poha Selection,"Foodgrains, Oil & Masala", 80.00, 80.00,"Organic Rice, Other Rice",4.0
487,Expert Brightening Serum Edition,Beauty & Hygiene, 942.00," 1,450.00",Face Care,4.0
488,Essential Ivory Glass Bottle - Orange & Yellow Floral Series,"Kitchen, Garden & Pets", 190.00, 190.00,Water & Fridge Bottles,3.919943820224719
489,Artisan Sheer Perfume For Women - EDP Premium Pack,Beauty & Hygiene," 1,435.50"," 1,595.00",Eau De Parfum,4.4
490,Signature Dog Treats - Diced Chicken Collection,"Kitchen, Garden & Pets", 195.00, 195.00,Pet Meals & Treats,3.919943820224719
491,New Generation Baking Powder - Double Acting Style,Gourmet & World Food, 145.00, 145.00,"Baking, Cake Decorations",5.0
492,"Signature Ready Mix - Kheer, Vermicelli Collection",Snacks & Branded Foods, 53.00, 60.00,Dessert Mixes,4.3
493,Pro Scrubbing Broom Brush - Outdoor Style,Cleaning & Household, 256.50, 285.00,Toilet & Other Brushes,4.5
494,Max Organic Wheat Dalia Set,"Foodgrains, Oil & Masala", 52.25, 55.00,Organic Flours,4.1
495,Signature Moisturizing Body Bath - Green Tea & Milk Model,Beauty & Hygiene, 279.00, 279.00,Shower Gel & Body Wash,3.919943820224719
496,Essential The Original Kashaya - Caffeine Free Series,Gourmet & World Food, 279.00, 279.00,Health Drinks,4.8
497,Expert Nizami Hyderabadi Cuisine Series,Gourmet & World Food, 395.00, 395.00,"Curry Paste, Coconut Milk",3.919943820224719
498,Fusion Elegance Deodorizing Talc - For Men Edition,Beauty & Hygiene, 157.25, 185.00,Talc,4.4
499,"Essential LED Bulb - 10 Watt CDL Round Base Lyor 5 Star Series, Cool Day Light White, B22 Collection","Kitchen, Garden & Pets", 149.00, 285.00,CFL & Led Bulbs,3.919943820224719
500,Max Organic Rasam Ready Mix - Long Pepper Premium Pack,Snacks & Branded Foods, 85.00, 85.00,Breakfast & Snack Mixes,4.2
501,Fusion Gold Caramel Candy Style,Snacks & Branded Foods, 50.00, 50.00,"Toffee, Candy & Lollypop",4.3
502,Ultimate Masala - Birayani Pulao Selection,"Foodgrains, Oil & Masala", 80.00, 80.00,Blended Masalas,4.2
503,Essential Hair Fall Control Oil Collection,Beauty & Hygiene, 145.00, 290.00,Hair Oil & Serum,4.0
504,Essential Bio Renew White Strawberry & Sweet Mint Conditioner Line,Beauty & Hygiene, 468.00, 650.00,Shampoo & Conditioner,4.4
505,"Ultimate Comfort Bathroom Stool Plastic/Patla - Plain, Big, Assorted Collection",Cleaning & Household, 259.00, 426.00,"Bath Stool, Basin & Sets",3.4
506,Artisan Bounce Biscuits - Elaichi Creme Set,Snacks & Branded Foods, 27.00, 30.00,Cream Biscuits & Wafers,4.1
507,"New Generation Pumice Stone & Emery Foot Filer - FFL3407, Colour May Vary Collection",Beauty & Hygiene, 175.00, 175.00,Bathing Accessories,3.8
508,Fusion Olive Oil - Classic Line,Gourmet & World Food, 589.00," 1,350.00","Pure, Pomace Olive Oil",3.919943820224719
509,Artisan Light Soy Sauce - Reduced Salt Selection,Gourmet & World Food, 346.50, 385.00,Thai & Asian Sauces,3.9
510,"Essential Kitchen Cleaning/Dusting Microfibre Cloth - Red & Grey, G130064RG Edition",Cleaning & Household, 219.00, 258.00,Dust Cloth & Wipes,4.0
511,Artisan Painting Kit Premium Pack,Cleaning & Household, 196.00, 199.00,Colours & Crayons,4.7
512,Advanced Diamond Skin Brightening Kit - Consumer Pack Set,Beauty & Hygiene, 150.00, 250.00,Face Care,4.0
513,Artisan Organic - Turmeric Powder/Arisina Pudi Collection,"Foodgrains, Oil & Masala", 32.00, 40.00,Organic Masalas & Spices,4.7
514,Max Natural Neem Agarbatti Premium Pack,Cleaning & Household, 180.00, 180.00,Mosquito Repellent,3.0
515,Ultimate Raspberry Strawberry Preserve Collection,Gourmet & World Food, 349.00, 349.00,"Jams, Marmalade, Spreads",3.5
516,Essential Meghdoot Honey Almond Body Lotion Set,Beauty & Hygiene, 195.00, 195.00,Body Care,3.919943820224719
517,Pro Hajmola Maha Candy - Aam+Imli Style,Beauty & Hygiene, 117.00, 130.00,Supplements & Proteins,4.4
518,Fusion Rice Bran Oil Edition,"Foodgrains, Oil & Masala", 173.00, 215.00,"Sunflower, Rice Bran Oil",4.1
519,"Signature N95 Washable Face Mask - Blue, Medium Collection",Beauty & Hygiene, 299.00, 395.00,Face Masks & Safety Gears,3.8
520,Essential Coriander Powder Collection,"Foodgrains, Oil & Masala", 24.00, 24.00,Powdered Spices,4.2
521,Ultimate Dressing - Creamy Caesar Edition,Gourmet & World Food, 270.00, 270.00,Salad Dressings,3.9
522,Essential Shishu Taila - For Healthy Skin & Stronger Bones Edition,Beauty & Hygiene, 200.00, 200.00,Ayurveda,3.919943820224719
523,Artisan Chocolate Flavoured Lubes Edition,Beauty & Hygiene, 300.00, 300.00,Sexual Wellness,2.3
524,New Generation Free Range Eggs - Omega 3 Series,"Eggs, Meat & Fish", 150.00, 150.00,Farm Eggs,3.919943820224719
525,Pro Whiteglow Skin Whitening & Brightening Gel Creme PA+++ - SPF 25 Series,Beauty & Hygiene, 292.50, 390.00,Face Care,4.3
526,Advanced Premium Californian Roasted & Salted Pistachios - Value Pack Set,Gourmet & World Food, 656.25, 875.00,Dry Fruits & Berries,3.919943820224719
527,Fusion Active Baby Medium (6-11 kg) - 62 Diapers Series,Baby Care," 1,077.02"," 1,099.00",Diapers,4.4
528,Elite Nutrition & Health Drink - Pista Badam Collection,Beverages, 315.00, 315.00,Kids (5+Yrs),4.4
529,Fusion Chocolate Biscuits - Cream 4 Fun Model,Snacks & Branded Foods, 25.00, 30.00,Cream Biscuits & Wafers,4.0
530,Ultimate Oat Krunch - Dark Chocolate Selection,Gourmet & World Food, 125.00, 125.00,"Cookies, Biscotti, Wafer",5.0
531,Expert Soft & Fresh Soap Bar Series,Beauty & Hygiene, 72.00, 72.00,Bathing Bars & Soaps,4.4
532,Ultimate Oxygen Moisture Shampoo Set,Beauty & Hygiene, 466.20, 630.00,Shampoo & Conditioner,4.2
533,"Elite Almond Milk - Unsweetened, Lactose-Free, Plant-Based Milk Alternative Set",Gourmet & World Food, 237.50, 250.00,Milk & Soya Drinks,4.2
534,Ultimate Herbal Vedaprash Immunity Booster Bundle,Beauty & Hygiene, 649.00, 649.00,Ayurveda,3.919943820224719
535,"Artisan Table Ring - Trivet Round, Dia-13 cm Series","Kitchen, Garden & Pets", 45.00, 59.00,Kitchen Tools & Other Accessories,3.7
536,Advanced Premium International Healthy Nutmix - Value Pack Selection,Gourmet & World Food, 401.33, 599.00,Dry Fruits & Berries,3.919943820224719
537,Expert Non Scratch Sponge Style,Cleaning & Household, 57.00, 70.00,"Utensil Scrub-Pad, Glove",4.3
538,Pro Premium Care XXXL - 23 Diaper Pants Series,Baby Care, 850.26," 1,149.00",Diapers,3.8
539,Signature Drumstick - Organically Grown Series,Fruits & Vegetables, 13.00, 16.25,Organic Vegetables,3.919943820224719
540,Essential Moisturzing Cream - Intense Model,Beauty & Hygiene, 175.00, 350.00,Face Care,3.919943820224719
541,Max Shikakai - Amla and Bhringraj Model,Beauty & Hygiene, 20.90, 22.00,Bathing Bars & Soaps,4.2
542,Pro Amritsari Chhole Masala Selection,"Foodgrains, Oil & Masala", 40.95, 63.00,Blended Masalas,4.1
543,Advanced Meswak Toothpaste Selection,Beauty & Hygiene, 426.30, 525.00,Toothpaste,4.3
544,Essential Tofu Supreme - Regular Selection,"Bakery, Cakes & Dairy", 108.00, 120.00,"Paneer, Tofu & Cream",2.8
545,Pro Honey Sunflower Premium Pack,Gourmet & World Food, 110.50, 130.00,Roasted Seeds & Nuts,4.7
546,Signature Premium Raw Organic Authentic Flaxseeds Line,Gourmet & World Food, 59.40, 99.00,Roasted Seeds & Nuts,4.5
547,Advanced Ultra Protect Spray Range,Beauty & Hygiene, 340.00, 400.00,Hand Wash & Sanitizers,3.5
548,Max Chia Mango Mint Jam Collection,Gourmet & World Food, 126.00, 140.00,"Jams, Marmalade, Spreads",3.5
549,New Generation Asafoetida - Powder Line,"Foodgrains, Oil & Masala", 90.25, 95.00,Powdered Spices,4.3
550,"Advanced Pure Maple Syrup - Product Of Canada, Grade A, Robust Taste Collection",Gourmet & World Food, 900.00," 1,000.00",Honey & Maple Syrup,4.7
551,Max Flucon Tablets - Fights Allergy Naturally Set,Beauty & Hygiene, 110.00, 110.00,Ayurveda,3.919943820224719
552,Signature Tagara (Valerian) - Tablets Model,Beauty & Hygiene, 145.20, 165.00,Supplements & Proteins,4.8
553,Essential Masala - Pav Bhaji Premium Pack,"Foodgrains, Oil & Masala", 66.00, 66.00,Blended Masalas,4.1
554,Signature Cereal Flip Lid Container/Storage Jar - Assorted Colour Premium Pack,Cleaning & Household, 79.00, 107.00,"Laundry, Storage Baskets",4.6
555,Elite Greek Yogurt Smoothie - Strawberry Collection,Gourmet & World Food, 49.00, 70.00,Milk & Soya Drinks,4.0
556,Artisan Marvel Spiderman Metal Kids Pencil Box Model,Cleaning & Household, 149.00, 149.00,Exam Pads & Pencil Box,3.0
557,New Generation Jeera Nibbles Set,Snacks & Branded Foods, 39.00, 50.00,Salted Biscuits,4.1
558,Essential Pure Aloe Vera Gel Set,Beauty & Hygiene, 107.00, 150.00,Body Care,3.7
559,New Generation Organic Quinoa Power Rice Cake Selection,Gourmet & World Food, 126.65, 149.00,"Healthy, Baked Snacks",3.919943820224719
560,Artisan Hair Styling Gel - High Hold With Wet Looks Set,Beauty & Hygiene, 299.00, 299.00,Hair Care & Styling,3.919943820224719
561,Essential Brazil - Single Origin Dark Chocolate Premium Pack,Gourmet & World Food, 320.00, 320.00,"Luxury Chocolates, Gifts",5.0
562,Expert Sesame Chikki Range,Snacks & Branded Foods, 300.00, 300.00,Chikki & Gajjak,4.0
563,Expert Jerk Sauce Edition,Snacks & Branded Foods, 160.00, 200.00,Chilli & Soya Sauce,5.0
564,Artisan Organic Elicoidali Pasta Collection,Gourmet & World Food, 396.00, 495.00,Pastas & Spaghetti,5.0
565,Pro Elegant Fruit Center Filled Choco Assortment Style,Gourmet & World Food, 267.75, 315.00,"Marshmallow, Candy, Jelly",5.0
566,"Pro Basting Brush Kitchen Oil Cooking Tool - Silicon Plastic, Pink/Peach Assorted, BB1166 Bundle","Kitchen, Garden & Pets", 139.00, 189.00,Baking Tools & Brushes,4.4
567,Fusion Baby Powder With Fragrance Line,Baby Care, 99.00, 99.00,Baby Powder,3.8
568,Expert Supple Bounce Body Lotion Selection,Beauty & Hygiene, 105.60, 110.00,Body Care,4.5
569,Fusion Glass Serving Mixing Bowl Edition,"Kitchen, Garden & Pets", 169.00, 299.00,Glassware,2.8
570,New Generation Tawa Pav Bhaji Masala Set,"Foodgrains, Oil & Masala", 39.60, 66.00,Blended Masalas,4.0
571,"Ultimate Bathing Bar Soap - Germ Protection, Original Collection",Beauty & Hygiene, 335.81, 440.00,Bathing Bars & Soaps,4.3
572,Fusion Nylon Rope Bundle,Cleaning & Household, 80.00, 80.00,Other Plastic Ware,4.2
573,Elite Cleaner - Jewelery Series,Cleaning & Household, 575.00, 575.00,Floor & Other Cleaners,3.919943820224719
574,Elite Tasty Ragi Chivda Model,Gourmet & World Food, 99.00, 99.00,"Healthy, Baked Snacks",3.919943820224719
575,Ultimate Crunchy & Creame Wafer Biscuit - Vanilla Model,Gourmet & World Food, 89.10, 99.00,"Cookies, Biscotti, Wafer",3.3
576,Essential Fevicryl - Pearl Kit Style,Cleaning & Household, 108.00, 110.00,Colours & Crayons,4.2
577,"Expert Deluxe Granite Non-Stick Omni Tawa, 250 mm (36301) Edition","Kitchen, Garden & Pets", 870.00," 1,020.00",Tawa & Sauce Pan,3.5
578,"New Generation Granola - Choco, Almond & Cookies Style",Snacks & Branded Foods, 245.00, 265.00,Granola & Cereal Bars,3.919943820224719
579,Ultimate Peanut Brittle - With Jaggery Range,Gourmet & World Food, 119.00, 199.00,"Luxury Chocolates, Gifts",3.919943820224719
580,Elite For Man Eau De Toilette Premium Pack,Beauty & Hygiene," 2,415.00"," 3,450.00",Eau De Toilette,2.0
581,"Advanced Novawhite Glutathione & Vitamin C Cream - For Men & Women, Suitable For all Skin Types Line",Beauty & Hygiene, 675.00, 675.00,Face Care,3.919943820224719
582,"Ultimate Klick Lead - 10HB, 10 Leads Range",Cleaning & Household, 98.00, 100.00,"Pen, Pencils",3.919943820224719
583,Elite Bhumyalakki Tablets Line,Beauty & Hygiene, 120.00, 120.00,Ayurveda,3.919943820224719
584,Elite Juice/Milk Mugs Collection,"Kitchen, Garden & Pets", 229.00, 280.00,Glassware,3.0
585,Advanced Pizza Topping Line,Gourmet & World Food, 139.00, 189.00,"Olive, Jalapeno, Gherkin",3.919943820224719
586,Artisan Shaving Foam Range,Beauty & Hygiene, 68.00, 85.00,Shaving Care,2.5
587,Advanced Mix - Rava Dosai Line,Snacks & Branded Foods, 60.00, 60.00,Breakfast & Snack Mixes,4.3
588,Essential Aloe Vera - Organically grown Model,Fruits & Vegetables, 40.00, 50.00,Organic Vegetables,3.919943820224719
589,"Pro Green Tea - Mint, Good morning Selection",Beverages, 75.00, 150.00,Green Tea,4.5
590,Essential Bathing Soap - Cucumber & Coconut Series,Beauty & Hygiene, 99.36, 120.00,Bathing Bars & Soaps,4.2
591,Essential Imitation - Crab Sticks Style,"Eggs, Meat & Fish", 195.00, 195.00,Frozen Fish & Seafood,3.919943820224719
592,New Generation Shot Body Spray - Royal Jade Range,Beauty & Hygiene, 165.75, 195.00,Men's Deodorants,4.5
593,Ultimate Camne Vid Collection,Beauty & Hygiene, 572.00, 572.00,Ayurveda,3.919943820224719
594,Pro Madrid - Dessert Spoons Model,"Kitchen, Garden & Pets", 359.00, 510.00,"Cutlery, Spoon & Fork",5.0
595,Elite Raw Chia Basil Seeds Collection,Gourmet & World Food, 450.00, 450.00,"Healthy, Baked Snacks",3.919943820224719
596,Fusion Jalapeno Pasta Sauce 385 g + Sriracha Chilli Sauce 185 g + Hot Sauce 75 ml Range,Snacks & Branded Foods, 475.20, 528.00,Chilli & Soya Sauce,3.919943820224719
597,"Elite Shot Body Spray - Gold, Passion Set",Beauty & Hygiene, 175.50, 195.00,Body Sprays & Mists,4.3
598,Advanced Toilex With Roundy Cont.- Vf Line,Cleaning & Household, 220.00, 220.00,Toilet & Other Brushes,2.0
599,"New Generation Toilet Roll - 4 Rolls, 3 ply Selection",Cleaning & Household, 325.00, 325.00,Toilet Paper,4.1
600,Ultimate Pumpkin Oil - Cold Pressed Bundle,Gourmet & World Food, 625.00, 625.00,Flavoured & Other Oils,3.919943820224719
601,Max Darjeeling White Teabags - Reeti Premium Pack,Beverages, 525.00, 875.00,Exotic & Flavoured Tea,3.919943820224719
602,Signature Twin Bucket Spin Mop - Green - 2 Refills Set,Cleaning & Household," 1,150.00"," 1,300.00","Mops, Wipers",2.8
603,Fusion Expanding Folder Series,Cleaning & Household, 224.00, 329.00,"Notebooks, Files, Folders",3.6
604,Expert Mouthwash Liquid - Cool Mint With Mild Taste Selection,Beauty & Hygiene, 220.50, 245.00,Mouthwash,4.3
605,Pro Quick Chai Masala Line,Beverages, 109.20, 140.00,Leaf & Dust Tea,3.5
606,Expert Non Alcoholic Beverage - Mango Chilli Mojito Mixer Style,Gourmet & World Food, 99.00, 99.00,Cocktail Mixes,3.919943820224719
607,Signature Intimate Lightening Serum Series,Beauty & Hygiene, 750.00, 750.00,Intimate Wash & Care,4.0
608,Signature Olive Oil - Pomace Line,Gourmet & World Food, 309.00, 889.00,"Pure, Pomace Olive Oil",3.919943820224719
609,Max X-Tenso Care Straight Masque Set,Beauty & Hygiene, 685.00, 685.00,Hair & Scalp Treatment,4.0
610,Max Monosodium Glutamate Line,Gourmet & World Food, 31.50, 35.00,"Baking, Cake Decorations",4.5
611,New Generation Pomace Olive Oil Model,Gourmet & World Food, 325.00, 325.00,"Pure, Pomace Olive Oil",3.919943820224719
612,"Artisan Puppy Dog Treat - Chicken & Liver Chunks, (Rs 25 Off ) Value Saver Pack Collection","Kitchen, Garden & Pets", 465.00, 500.00,Pet Meals & Treats,4.5
613,Max Masala - Vegetable Series,"Foodgrains, Oil & Masala", 43.70, 46.00,Blended Masalas,4.1
614,Advanced Cheese - Mozzarella & Cheddar Premium Pack,Gourmet & World Food, 240.00, 240.00,International Cheese,3.919943820224719
615,Advanced Baby Oil With Fruit Extracts Set,Baby Care, 343.20, 429.00,Baby Oil & Shampoo,3.919943820224719
616,New Generation Soya Milk - Vanilla Style,"Bakery, Cakes & Dairy", 77.17, 105.00,"Flavoured, Soya Milk",4.2
617,Elite Sunlite Spray Edition,Beauty & Hygiene, 475.00, 475.00,Face Care,3.919943820224719
618,Fusion Max Fresh New Super Plastic Lunch Box/Tiffin Box - Blue Style,"Kitchen, Garden & Pets", 469.00, 602.00,Lunch Boxes,4.5
619,Expert Fruit Yoghurt - Mango Bundle,"Bakery, Cakes & Dairy", 79.00, 160.00,Yogurt & Shrikhand,4.0
620,Signature Chipotle Pepper Sauce Range,Gourmet & World Food, 749.00, 749.00,"Curry Paste, Coconut Milk",4.8
621,Elite Dairy Milk Black Forest - Imported Model,Gourmet & World Food, 350.00, 350.00,International Chocolates,5.0
622,Fusion Organic Brown Sugar/Sakkare Style,"Foodgrains, Oil & Masala", 77.00, 77.00,"Organic Sugar, Jaggery",4.1
623,Max Ready to Eat - Chicken Darbari Set,Snacks & Branded Foods, 190.00, 200.00,Heat & Eat Ready Meals,3.9
624,Elite Nuts Hazelnuts regular Bundle,Gourmet & World Food, 400.00, 400.00,"Luxury Chocolates, Gifts",3.0
625,Pro Roasted Sunflower Pumpkin & Flax Seeds Collection,Gourmet & World Food, 500.00, 500.00,Roasted Seeds & Nuts,4.2
626,Expert Organic Paneer Series,"Bakery, Cakes & Dairy", 115.00, 125.00,"Paneer, Tofu & Cream",3.1
627,"Expert Multipurpose Plastic Basket - Laundry/Clothes, Blue, Oval Series",Cleaning & Household, 149.00, 230.00,"Laundry, Storage Baskets",3.6
628,"Max Man-In-Charge - Aqua Blue, Eau De Parfum Line",Beauty & Hygiene, 700.00, 700.00,Eau De Parfum,3.919943820224719
629,Elite Ayurvedic Karela Powder Edition,Beauty & Hygiene, 60.00, 60.00,Ayurveda,3.919943820224719
630,Max Sweetss - Badam halwa Series,Snacks & Branded Foods, 600.00, 600.00,Fresh Sweets,3.919943820224719
631,Essential Pre Shave Foam - Classic Sensitive Skin Series,Beauty & Hygiene, 180.00, 225.00,Shaving Care,4.3
632,Artisan Tomato Ketchup Model,Snacks & Branded Foods, 110.00, 110.00,Tomato Ketchup & Sauces,4.0
633,Pro Premium Flat Square Plastic Container Set - Blue Edition,"Kitchen, Garden & Pets", 69.00, 115.00,Containers Sets,4.1
634,Fusion Lime Fresh 500 ml + Laundry San- Spring Blossom 480 ml Bundle,Cleaning & Household, 303.30, 363.00,Disinfectant Spray & Cleaners,3.919943820224719
635,Fusion Touch 'N' Fresh - Wild Lavender Premium Pack,Cleaning & Household, 120.00, 120.00,Air Freshener,4.0
636,Pro Crushed Chikki Peanut Bar Series,Snacks & Branded Foods, 300.00, 300.00,Chikki & Gajjak,4.1
637,"New Generation Sausage - Chicken, Cocktail Collection","Eggs, Meat & Fish", 205.00, 205.00,Chicken Sausages,3.919943820224719
638,Pro Make Up Remover+Brightening Nigt Cream Collection,Beauty & Hygiene, 869.00," 1,230.00",Face Care,3.919943820224719
639,Advanced Pore Shrinking Face Pack Style,Beauty & Hygiene, 299.40, 499.00,Face Care,5.0
640,Fusion Wafers - Vanilla & Hazelnut Range,Gourmet & World Food, 67.50, 75.00,"Cookies, Biscotti, Wafer",2.8
641,Elite Wasabi Coated Green Peas Model,Gourmet & World Food, 70.00, 70.00,"Healthy, Baked Snacks",3.919943820224719
642,New Generation Hair Spa Detoxifying Shampoo Range,Beauty & Hygiene, 399.00, 399.00,Shampoo & Conditioner,3.6
643,Artisan Fruit Power Juice- Mixed Berries Collection,Beverages, 96.80, 110.00,Juices,3.919943820224719
644,Advanced Nilgiris Green Tea - Zoho Lemongrass Model,Beverages, 200.00, 400.00,Exotic & Flavoured Tea,5.0
645,Max Borosilicate Glass Round Food Container With Dark Blue Lid Series,"Kitchen, Garden & Pets", 239.00, 399.00,Containers Sets,3.919943820224719
646,Essential Cloth Clip Range,Cleaning & Household, 240.00, 240.00,"Hangers, Clips & Rope",2.8
647,Fusion Original Soap Model,Beauty & Hygiene, 517.50, 575.00,Bath & Shower,4.0
648,Fusion Daily Defence Instant Fairness Cream Bundle,Beauty & Hygiene, 240.00, 240.00,Face & Body,3.919943820224719
649,Advanced Kashmiri Kahwa Green Tea Selection,Gourmet & World Food, 243.75, 325.00,Gourmet Tea & Tea Bags,3.919943820224719
